input,mode,size,tComp_ms,tDecomp_ms,nO,nC,gainT
large,WITHOUT_OVERLAP,100000,706706.666667,228166.666667,266.000000,266.000000,false
large,OVERLAP,100000,361286.666667,334566.666667,266.000000,250.000000,true
large,OVERFLOW_WITHOUT_OVERLAP,100000,714386.666667,314693.333333,266.000000,266.000000,false
large,OVERFLOW_OVERLAP,100000,620603.333333,417120.000000,266.000000,258.000000,true
overflow,WITHOUT_OVERLAP,100000,257083.333333,243740.000000,266.000000,266.000000,false
overflow,OVERLAP,100000,264843.333333,197316.666667,266.000000,208.000000,true
overflow,OVERFLOW_WITHOUT_OVERLAP,100000,519836.666667,602186.666667,266.000000,133.000000,true
overflow,OVERFLOW_OVERLAP,100000,649150.000000,645390.000000,266.000000,133.000000,true
overlap,WITHOUT_OVERLAP,100000,188906.666667,173060.000000,266.000000,88.000000,true
overlap,OVERLAP,100000,220353.333333,146796.666667,266.000000,83.000000,true
overlap,OVERFLOW_WITHOUT_OVERLAP,100000,289380.000000,239860.000000,266.000000,133.000000,true
overlap,OVERFLOW_OVERLAP,100000,521760.000000,570696.666667,266.000000,91.000000,true
small,WITHOUT_OVERLAP,100000,180813.333333,178843.333333,266.000000,8.000000,true
small,OVERLAP,100000,194246.666667,122830.000000,266.000000,8.000000,true
small,OVERFLOW_WITHOUT_OVERLAP,100000,443416.666667,258656.666667,266.000000,16.000000,true
small,OVERFLOW_OVERLAP,100000,398473.333333,263006.666667,266.000000,16.000000,true
without_overlap,WITHOUT_OVERLAP,100000,173163.333333,162896.666667,266.000000,33.000000,true
without_overlap,OVERLAP,100000,204873.333333,130450.000000,266.000000,33.000000,true
without_overlap,OVERFLOW_WITHOUT_OVERLAP,100000,274136.666667,241310.000000,266.000000,44.000000,true
without_overlap,OVERFLOW_OVERLAP,100000,327713.333333,245953.333333,266.000000,41.000000,true
