mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio
WITHOUT_OVERLAP,1000,2.270000,1.940000,13.312000,16.000000,0.500000
OVERLAP,1000,2.015000,1.580000,32.493500,12.000000,0.375000
OVERFLOW_WITHOUT_OVERLAP,1000,20.110000,16.005000,29.289500,8.000000,0.250000
OVERFLOW_OVERLAP,1000,20.460000,55.555000,69.178000,7.008000,0.219000
WITHOUT_OVERLAP,100000,2.643050,1.744000,25.350880,16.000000,0.500000
OVERLAP,100000,2.325600,1.560400,13.739075,12.000000,0.375000
OVERFLOW_WITHOUT_OVERLAP,100000,4.323950,2.847500,12.483520,16.000000,0.500000
OVERFLOW_OVERLAP,100000,3.590100,2.616850,15.245270,13.000000,0.406250
WITHOUT_OVERLAP,10000000,2.133873,1.613698,37.527060,16.000000,0.500000
OVERLAP,10000000,2.197059,1.603077,29.398970,12.000000,0.375000
OVERFLOW_WITHOUT_OVERLAP,10000000,3.347758,2.308509,35.044940,16.000000,0.500000
OVERFLOW_OVERLAP,10000000,3.322533,2.350041,29.709375,13.000000,0.406250
