mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio
WITHOUT_OVERLAP,1000,2.145000,1.750000,13.915500,10.688000,0.334000
OVERLAP,1000,2.135000,1.645000,14.055500,10.016000,0.313000
OVERFLOW_WITHOUT_OVERLAP,1000,3.225000,2.245000,11.904000,16.000000,0.500000
OVERFLOW_OVERLAP,1000,3.485000,2.625000,16.747000,11.008000,0.344000
WITHOUT_OVERLAP,100000,2.255500,1.635500,12.045925,10.666880,0.333340
OVERLAP,100000,2.125100,1.413600,13.675015,10.000000,0.312500
OVERFLOW_WITHOUT_OVERLAP,100000,3.200050,2.213200,12.593395,16.000000,0.500000
OVERFLOW_OVERLAP,100000,3.439250,2.257800,14.271660,11.000000,0.343750
WITHOUT_OVERLAP,10000000,2.199973,1.640602,25.345590,10.666669,0.333333
OVERLAP,10000000,2.181310,1.609219,26.772040,10.000000,0.312500
OVERFLOW_WITHOUT_OVERLAP,10000000,3.473554,2.456392,111.308345,16.000000,0.500000
OVERFLOW_OVERLAP,10000000,15.474702,10.299608,71.241135,11.000000,0.343750
