input,mode,size,tComp_ms,tDecomp_ms,nO,nC,gainT
large,WITHOUT_OVERLAP,100000,287210.000000,175673.333333,266.000000,266.000000,false
large,OVERLAP,100000,307143.333333,275370.000000,266.000000,250.000000,true
large,OVERFLOW_WITHOUT_OVERLAP,100000,614936.666667,388670.000000,266.000000,266.000000,false
large,OVERFLOW_OVERLAP,100000,465860.000000,351773.333333,266.000000,258.000000,true
overflow,WITHOUT_OVERLAP,100000,192126.666667,156033.333333,266.000000,266.000000,false
overflow,OVERLAP,100000,231843.333333,159980.000000,266.000000,208.000000,true
overflow,OVERFLOW_WITHOUT_OVERLAP,100000,699350.000000,574090.000000,266.000000,133.000000,true
overflow,OVERFLOW_OVERLAP,100000,780146.666667,562730.000000,266.000000,133.000000,true
overlap,WITHOUT_OVERLAP,100000,175363.333333,155356.666667,266.000000,88.000000,true
overlap,OVERLAP,100000,191083.333333,136616.666667,266.000000,83.000000,true
overlap,OVERFLOW_WITHOUT_OVERLAP,100000,275876.666667,215110.000000,266.000000,133.000000,true
overlap,OVERFLOW_OVERLAP,100000,307520.000000,216660.000000,266.000000,91.000000,true
small,WITHOUT_OVERLAP,100000,181353.333333,140003.333333,266.000000,8.000000,true
small,OVERLAP,100000,154430.000000,100430.000000,266.000000,8.000000,true
small,OVERFLOW_WITHOUT_OVERLAP,100000,332376.666667,187010.000000,266.000000,16.000000,true
small,OVERFLOW_OVERLAP,100000,270573.333333,180753.333333,266.000000,16.000000,true
without_overlap,WITHOUT_OVERLAP,100000,147983.333333,141020.000000,266.000000,33.000000,true
without_overlap,OVERLAP,100000,189170.000000,101096.666667,266.000000,33.000000,true
without_overlap,OVERFLOW_WITHOUT_OVERLAP,100000,231753.333333,204006.666667,266.000000,44.000000,true
without_overlap,OVERFLOW_OVERLAP,100000,295670.000000,207933.333333,266.000000,41.000000,true
