profile,mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio,S0bits,Scbits,n0,n1,tStar_ms,T0_ms,Tc_ms,gainT
CAMPAGNE_4G,WITHOUT_OVERLAP,1000,1.610000,1.550000,10.304000,4.000000,0.125000,32000,4000,3,1,-2.798420,96.400000,30.803160,true
CAMPAGNE_4G,OVERLAP,1000,1.675000,18.105000,9.368000,4.000000,0.125000,32000,4000,3,1,-2.790110,96.400000,30.819780,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,1000,4.745000,2.230000,10.475500,5.344000,0.167000,32000,5344,3,1,-2.662113,96.400000,31.075775,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,1000,2.710000,2.410000,13.696000,5.024000,0.157000,32000,5024,3,1,-2.695040,96.400000,31.009920,true
CAMPAGNE_4G,WITHOUT_OVERLAP,100000,1.439350,1.421000,10.042340,4.000000,0.125000,3200000,400000,267,34,-2.402206,8650.000000,1100.286035,true
CAMPAGNE_4G,OVERLAP,100000,1.749950,1.068950,9.343830,4.000000,0.125000,3200000,400000,267,34,-2.402224,8650.000000,1100.281890,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,100000,2.351350,2.097450,10.070185,5.333440,0.166670,3200000,533344,267,45,-2.400389,8650.000000,1457.113680,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,100000,3.153200,2.328550,11.093820,5.000000,0.156250,3200000,500000,267,42,-2.397564,8650.000000,1360.548175,true
CAMPAGNE_4G,WITHOUT_OVERLAP,1000000,1.527075,1.306005,11.700520,4.000000,0.125000,32000000,4000000,2667,334,-2.399129,86410.000000,10822.833080,true
CAMPAGNE_4G,OVERLAP,1000000,1.660850,1.099540,10.390635,4.000000,0.125000,32000000,4000000,2667,334,-2.399160,86410.000000,10822.760390,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,1000000,2.447240,1.998595,11.473465,5.333344,0.166667,32000000,5333344,2667,445,-2.398238,86410.000000,14421.114635,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,1000000,3.157850,2.465010,11.750250,5.000000,0.156250,32000000,5000000,2667,417,-2.397501,86410.000000,13515.622860,true
FIBRE_BUREAU,WITHOUT_OVERLAP,1000,1.515000,1.410000,10.152000,4.000000,0.125000,32000,4000,3,1,-0.138538,3.320000,1.042925,true
FIBRE_BUREAU,OVERLAP,1000,1.760000,1.170000,9.215500,4.000000,0.125000,32000,4000,3,1,-0.138535,3.320000,1.042930,true
FIBRE_BUREAU,OVERFLOW_WITHOUT_OVERLAP,1000,2.110000,2.080000,9.537500,5.344000,0.167000,32000,5344,3,1,-0.131185,3.320000,1.057630,true
FIBRE_BUREAU,OVERFLOW_OVERLAP,1000,2.935000,2.565000,12.609500,5.024000,0.157000,32000,5024,3,1,-0.132130,3.320000,1.055740,true
FIBRE_BUREAU,WITHOUT_OVERLAP,100000,1.433550,1.422050,9.733715,4.000000,0.125000,3200000,400000,267,34,-0.118946,299.000000,38.285560,true
FIBRE_BUREAU,OVERLAP,100000,1.650650,1.031300,9.229150,4.000000,0.125000,3200000,400000,267,34,-0.119021,299.000000,38.268195,true
FIBRE_BUREAU,OVERFLOW_WITHOUT_OVERLAP,100000,2.691850,1.912600,14.418360,5.333440,0.166670,3200000,533344,267,45,-0.118046,299.000000,50.793885,true
FIBRE_BUREAU,OVERFLOW_OVERLAP,100000,3.141400,2.430600,10.690835,5.000000,0.156250,3200000,500000,267,42,-0.117524,299.000000,47.557200,true
FIBRE_BUREAU,WITHOUT_OVERLAP,1000000,1.462240,1.314585,10.668225,4.000000,0.125000,32000000,4000000,2667,334,-0.118827,2987.000000,376.776825,true
FIBRE_BUREAU,OVERLAP,1000000,1.601765,1.108630,10.388285,4.000000,0.125000,32000000,4000000,2667,334,-0.118855,2987.000000,376.710395,true
